Id,Delay
668,1363.94435427
669,3261.35741483
670,3365.30024479
671,1545.81503515
672,4654.70873859
673,1213.6463832
674,3434.14122325
675,2475.06219387
676,3047.65695784
677,3393.31889336
678,1918.52509804
679,3171.41294896
680,2228.09552719
681,2942.33271861
682,2775.26870604
683,3468.18311544
684,2313.39193054
685,4205.49968841
686,3968.35850378
687,4627.41108409
688,4221.16178225
689,2071.5607655
690,2598.44881525
691,1432.2155832
692,1940.04720366
693,2592.951926
694,2750.47663866
695,4494.77385312
696,2871.75689754
697,3172.26171862
698,2555.7346482
699,2840.50573819
700,3658.03606336
701,1044.74051322
702,1452.28128909
703,2565.27934844
704,2738.50177496
705,2425.6927098
706,3445.98713008
707,5042.03114956
708,4085.21936258
709,2268.7493258
710,2546.90711506
711,1474.84449098
712,3325.20479218
713,4811.10371039
714,2165.36204866
715,2695.08188423
716,3063.79095589
717,3918.51843162
718,4222.63896208
719,2978.10193467
720,2390.63920947
721,3500.98260231
722,2745.78158448
723,2336.75110008
724,4321.97080513
725,3546.89220723
726,2980.38843213
727,3297.26004317
728,3607.47409277
729,3230.32465449
730,1409.11010085
731,5700.02205419
732,2380.38730305
733,1826.10958474
734,3895.17685548
735,2399.48588337
736,4966.77606136
737,2107.61888419
738,2144.4340732
739,2513.86869229
740,4043.65275401
741,2942.32896326
742,2911.56198446
743,1778.35394424
744,3758.88351708
745,2862.66283084
746,2818.27203153
747,1534.07621861
748,3596.36064068
749,4836.19116834
750,2078.72588454
751,2031.33465657
752,3477.31840915
753,3219.9613772
754,1164.47472551
755,2144.71173729
756,1639.27910241
757,3619.30217955
758,3509.6612454
759,2724.10913274
760,3281.81938846
761,1496.2539229
762,3637.87486196
763,2631.56850047
764,3008.5603915
765,4821.87885577
766,2083.28574036
767,3480.78804167
768,3066.62694081
769,4863.80190221
770,2946.31783189
771,3301.9360511
772,1943.58996688
773,1549.92205141
774,3679.21318781
775,2812.10921165
776,1998.95621099
777,1990.04105178
778,3185.69806464
779,3459.27148434
780,3279.78515196
781,5329.24947193
782,2445.81629189
783,2828.55143075
784,3746.74846083
785,3466.51682645
786,2069.10155262
787,4538.73484231
788,1880.63082493
789,5383.05988433
790,3645.95439511
791,1543.40253108
792,2755.93140924
793,2259.15725919
794,3238.80518254
795,3081.14705943
796,1464.70437953
797,2116.93700087
798,3894.2370351
799,1740.01026694
800,3466.33831571
801,1178.79620098
802,4872.75205612
803,3760.33870386
804,2764.58730627
805,2685.37632282
806,3328.28014637
807,5997.35313059
808,1951.93072056
809,2045.12780931
810,1739.99708531
811,3923.13711187
812,2953.3269444
813,2948.73444236
814,1956.09588658
815,986.153472548
816,2699.09789398
817,1647.61469228
818,3905.83855913
819,2746.15630064
820,4166.59275712
821,3790.91197256
822,1683.68059603
823,4809.2525442
824,2857.61583662
825,3398.8675211
826,974.92030992
827,1751.4331686
828,2603.35225088
829,3127.53110808
830,4303.22615435
831,3004.76988495
832,2235.3277712
833,1543.20325015
834,2571.38527464
835,5374.86924136
836,2553.81023795
837,3765.76300116
838,2070.68790111
839,5531.43832766
840,2295.04217287
841,1922.93377198
842,2042.11482261
843,1707.34289459
844,4070.90391366
845,2579.9011976
846,3097.56102561
847,3008.28222335
848,2320.35622706
849,3924.28317395
850,1874.2506485
851,1759.45314527
852,3473.59807416
853,4626.21047879
854,1742.78961291
855,3156.30416264
856,2356.83183607
857,2481.54178732
858,3326.98049612
859,3841.6481351
860,2574.73464949
861,1683.39517448
862,3441.28806472
863,3419.75258733
864,2221.45171349
865,1381.77418571
866,3395.29996036
867,3484.2216179
868,1329.90496012
869,2128.78900032
870,2264.16388088
871,2251.89613418
872,4930.01894484
873,2260.34589855
874,1275.44555939
875,2429.82438589
876,1355.47833863
877,1247.40469892
878,1652.18059133
879,3514.24541619
880,1111.2025887
881,2669.60020047
882,3790.46065938
883,3650.7733955
884,4417.00823523
885,3160.01479811
886,2435.90320203
887,3504.167532
888,3612.59339728
889,4019.981648
890,3750.85627473
891,1865.55541914
892,2754.05927276
893,1576.32200596
894,2437.9625716
895,3949.18483812
896,1324.84964713
897,3321.09444857
898,2615.96736871
899,1771.82734741
900,2917.82703913
901,4260.21335997
902,3167.67851893
903,1247.29602739
904,2322.01769981
905,3338.28641545
906,2145.2539463
907,3807.97380088
908,3020.27687541
909,3799.84783448
910,3162.86565665
911,2770.53939949
912,2360.30849933
913,3369.12511028
914,2301.06050472
915,3017.28994958
916,3529.8522475
917,2773.90230578
918,5988.00675297
919,2013.88927512
920,2468.50196589
921,3902.56040191
922,2398.81341001
923,2851.30240211
924,4613.40114465
925,1975.7101805
926,1652.20001875
927,3967.76623847
928,5592.98725204
929,4646.39283151
930,3406.36119328
931,5017.49771909
932,1991.92049276
933,2947.61365754
934,1391.49153176
935,2164.86894193
936,2812.80264117
937,2535.31697793
938,2735.41303066
939,2410.94755171
940,3455.90586963
941,3451.86710809
942,3085.43064358
943,3964.608625
944,5284.75197559
945,3586.74461785
946,1253.00569729
947,2614.28130503
948,2732.12474379
949,3434.37533451
950,2179.23189527
951,5029.42800519
952,1117.93871355
953,2902.99496405
954,3532.25043295
955,2175.06257945
956,1786.92741793
957,2715.45384485
958,2999.48385403
959,2498.47456196
960,1779.69409545
961,2753.53693295
962,2499.3718575
963,3205.98666499
964,1514.48908442
965,4233.15806178
966,4728.59061716
967,4376.82707948
968,2589.19251838
969,2464.22962328
970,4857.35198916
971,4608.93632262
972,1855.20133271
973,3447.69469616
974,1168.98270943
975,2756.11353287
976,1917.50700649
977,3257.79717208
978,1851.87283571
979,1985.22813856
980,3799.96147362
981,2450.17191548
982,710.197637309
983,2297.08188498
